"","ds","y"
"277","10/24/2020",212.4393489
"278","10/25/2020",212.8281394
"279","10/26/2020",213.2449304
"280","10/27/2020",213.7177904
"281","10/28/2020",214.204119
"282","10/29/2020",214.7574588
"283","10/30/2020",215.3572852
"284","10/31/2020",215.8942589
"285","11/1/2020",216.3476768
"286","11/2/2020",216.8453986
"287","11/3/2020",217.5821535
"288","11/4/2020",218.1848595
"289","11/5/2020",218.9175388
"290","11/6/2020",219.6403062
"291","11/7/2020",220.3691212
"292","11/8/2020",220.9892929
"293","11/9/2020",221.6682247
"294","11/10/2020",222.43115
"295","11/11/2020",223.218385
"296","11/12/2020",224.0930405
"297","11/13/2020",225.0447217
"298","11/14/2020",225.9275334
"299","11/15/2020",226.6391453
"300","11/16/2020",227.4577662
"301","11/17/2020",228.2818316
"302","11/18/2020",229.1471587
"303","11/19/2020",230.0906256
"304","11/20/2020",231.062483
"305","11/21/2020",231.9350737
"306","11/22/2020",232.6275713
"307","11/23/2020",233.4514897
"308","11/24/2020",234.2738888
"309","11/25/2020",235.1279109
"310","11/26/2020",235.6439492
"311","11/27/2020",236.5941833
"312","11/28/2020",237.3060457
"313","11/29/2020",237.9362567
"314","11/30/2020",238.6467327
